title,artist,release,year,position
Like A Rollin' Stone,Bob Dylan,1965,2014,261
Solsbury Hill,Peter Gabriel,1977,2014,262
Dreams,Fleetwood Mac,1977,2014,263
Zombie,The Cranberries,1994,2014,264
Me And Bobby McGee,Janis Joplin,1971,2014,265
She,Elvis Costello,1999,2014,266
Have I Told You Lately That I Love You,Van Morrison,1989,2014,267
What's Going On,Marvin Gaye,1971,2014,268
Mother Earth,Within Temptation,2002,2014,269
She's Not There,Santana,1978,2014,270
Oerend Hard,Normaal,1977,2014,271
More Than A Feeling,Boston,1977,2014,272
Op Fietse,Skik,1997,2014,273
Kronenburg Park,Frank Boeijen Groep,1985,2014,274
Zij Gelooft In Mij,Andre Hazes,2000,2014,275
Morning Has Broken,Cat Stevens,1972,2014,276
Time,Pink Floyd,1973,2014,277
Du,Peter Maffay,1971,2014,278
September,Earth Wind & Fire,1979,2014,279
Have You Ever Seen The Rain,Creedence Clearwater Revival,1971,2014,280
Forever Young,Alphaville,1984,2014,281
Don't Stop Believin',Journey,1981,2014,282
Liefs Uit Londen,Blof,1998,2014,283
Take On Me,A-Ha,1985,2014,284
Thunder Road,Bruce Springsteen,1975,2014,285
The Great Gig In The Sky,Pink Floyd,1973,2014,286
Roxanne,The Police,1979,2014,287
Run,Snow Patrol,2004,2014,288
Light My Fire,The Doors,1967,2014,289
I'm Not In Love,10CC,1975,2014,290
Brown Eyed Girl,Van Morrison,1967,2014,291
Fast Car,Tracy Chapman,1988,2014,292
Dancing In The Dark,Bruce Springsteen,1984,2014,293
Ordinary Love,U2,2013,2014,294
One Step Beyond,Madness,1979,2014,295
Feel,Robbie Williams,2002,2014,296
I Want You,Elvis Costello,1986,2014,297
Baker Street,Gerry Rafferty,1978,2014,298
Kiss From A Rose,Seal,1994,2014,299
Knocking On Heaven's Door,Guns N' Roses,1992,2014,300
Geef Mij Je Angst,Guus Meeuwis,2004,2014,301
Plug In Baby,Muse,2001,2014,302
Silent Lucidity,Queensrÿche,1990,2014,303
Conquest Of Paradise,Vangelis,1995,2014,304
Love Will Tear Us Apart,Joy Division,1980,2014,305
Killer Queen,Queen,1974,2014,306
Lopen Tot De Zon Komt,Acda En De Munnik,1997,2014,307
9 Crimes,Damien Rice,2006,2014,308
Bat Out Of Hell,Meat Loaf,1977,2014,309
Vienna,Ultravox,1981,2014,310
Another 45 Miles,Golden Earring,1969,2014,311
L.A. Woman,The Doors,1971,2014,312
Der Weg,Herbert Gronemeyer,2002,2014,313
'K Heb Je Lief,Paul De Leeuw,1997,2014,314
Three Little Birds,Bob Marley & The Wailers,1977,2014,315
Another Love,Tom Odell,2012,2014,316
Englishman In New York,Sting,1988,2014,317
Papa Was A Rolling Stone,The Temptations,1972,2014,318
Aan De Kust,Blof,1998,2014,319
Suzanne,Leonard Cohen,1968,2014,320
In The Ghetto,Elvis Presley,1969,2014,321
Fields Of Gold,Eva Cassidy,1998,2014,322
Money,Pink Floyd,1973,2014,323
The Weight,The Band,1968,2014,324
Wonderful Tonight,Eric Clapton,1988,2014,325
I Still Cry,Ilse DeLange,2000,2014,326
Nothing Compares 2 U,Sinead O'Connor,1990,2014,327
Thinking Out Loud,Ed Sheeran,2014,2014,328
Prachtig Mooie Dag,Daniel Lohues,2011,2014,329
Every Breath You Take,The Police,1983,2014,330
Boulevard Of Broken Dreams,Green Day,2004,2014,331
I Was Made For Loving You,Kiss,1979,2014,332
Time In A Bottle,Jim Croce,1973,2014,333
A Horse With No Name,America,1972,2014,334
I'm On Fire,Bruce Springsteen,1985,2014,335
Hier Kom Ik Weg,Daniel Lohues,2008,2014,336
Holiday In Spain,Counting Crows & Blof,2004,2014,337
Black Betty,Ram Jam,1978,2014,338
Hey Brother,Avicii,2013,2014,339
Zelfs Je Naam Is Mooi,Henk Westbroek,1998,2014,340
My Immortal,Evanescence,2003,2014,341
Keep Your Head Up,Ben Howard,2011,2014,342
Hey Joe,Jimi Hendrix Experience,1967,2014,343
November,Rowwen Heze,2000,2014,344
Une Belle Histoire,Michel Fugain,1972,2014,345
Insomnia,Faithless,1995,2014,346
Pride,U2,1984,2014,347
One Of These Nights,Eagles,1975,2014,348
The Whole Of The Moon,The Waterboys,1986,2014,349
Liefde Van Later,Herman van Veen,1969,2014,350
Easy Livin',Uriah Heep,1973,2014,351
Papillon,Editors,2009,2014,352
Romeo And Juliet,Dire Straits,1980,2014,353
Margherita,Marco Borsato,1996,2014,354
Walk Of Life,Dire Straits,1985,2014,355
Little Lion Man,Mumford & Sons,2009,2014,356
There Is A Light That Never Goes Out,The Smiths,1986,2014,357
Rockin' In The Free World,Neil Young,1989,2014,358
Sad But True,Metallica,1992,2014,359
Running With The Devil,Van Halen,1980,2014,360
Kleine Jongen,Andre Hazes,1990,2014,361
Badlands,Bruce Springsteen,1978,2014,362
Starlight,Muse,2006,2014,363
With A Little Help From My Friends,Joe Cocker,1968,2014,364
Twilight Zone,Golden Earring,1982,2014,365
Free Bird,Lynyrd Skynyrd,1974,2014,366
Leningrad,Billy Joel,1989,2014,367
We Will Rock You,Queen,1977,2014,368
Bad Moon Rising,Creedence Clearwater Revival,1969,2014,369
Against All Odds,Phil Collins,1984,2014,370
Geef Mij Je Angst,Andre Hazes,1984,2014,371
Follow You Follow Me,Genesis,1978,2014,372
Bloasmuziek,Ge Reinders,1999,2014,373
Rood,Marco Borsato,2006,2014,374
Lola,The Kinks,1970,2014,375
Thank You For The Music,ABBA,1978,2014,376
Sebastian,Cockney Rebel,1973,2014,377
I Don't Want To Miss A Thing,Aerosmith,1998,2014,378
Owner Of A Lonely Heart,Yes,1983,2014,379
Iris,Goo Goo Dolls,1999,2014,380
Fantasy,Earth Wind & Fire,1978,2014,381
Wild Horses,The Rolling Stones,1971,2014,382
Harder Dan Ik Hebben Kan,Blof,1999,2014,383
Joan Of Arc (Maid Of Orleans),Orchestral Manoeuvres In The Dark,1982,2014,384
Mag Het Licht Uit,De Dijk,1987,2014,385
Snow (Hey Oh),Red Hot Chili Peppers,2006,2014,386
Hocus Pocus,Focus,1971,2014,387
Geen Kind Meer,Karin Bloemen,1996,2014,388
Unfinished Sympathy,Massive Attack,1991,2014,389
Don't Look Back In Anger,Oasis,1996,2014,390
Use Somebody,Kings Of Leon,2008,2014,391
Another Day In Paradise,Phil Collins,1989,2014,392
Michel,Anouk,2000,2014,393
I Am... I Said,Neil Diamond,1971,2014,394
Strawberry Fields Forever,The Beatles,1967,2014,395
In Your Arms,Chef'Special,2014,2014,396
Black Magic Woman,Santana,1970,2014,397
Songbird,Fleetwood Mac,1977,2014,398
Still Loving You,Scorpions,1987,2014,399
Eleanor Rigby,The Beatles,1966,2014,400
She's Always A Woman To Me,Billy Joel,1978,2014,401
I Gotta Feeling,The Black Eyed Peas,2009,2014,402
The Logical Song,Supertramp,1979,2014,403
Holding Back The Years,Simply Red,1985,2014,404
Dansen Op De Vulkaan,De Dijk,1987,2014,405
De Vlieger,Andre Hazes,1977,2014,406
My Way,Frank Sinatra,1969,2014,407
Fortunate Son,Creedence Clearwater Revival,1969,2014,408
Slippery People,Talking Heads,1985,2014,409
What A Wonderful World,Louis Armstrong,1968,2014,410
The Turn Of A Friendly Card,The Alan Parsons Project,1980,2014,411
New Years Day,U2,1983,2014,412
99 Luftballons,Nena,1983,2014,413
Year Of The Cat,Al Stewart,1977,2014,414
White Room,Cream,1968,2014,415
Tubular Bells,Mike Oldfield,1974,2014,416
Gimme All Your Lovin',ZZ Top,1984,2014,417
Radio Ga Ga,Queen,1984,2014,418
Beat It,Michael Jackson,1983,2014,419
Immigrant Song,Led Zeppelin,1971,2014,420
Eye In The Sky,The Alan Parsons Project,1982,2014,421
Sweet Home Alabama,Lynyrd Skynyrd,1974,2014,422
Onderweg,Abel,2000,2014,423
Albatross,Fleetwood Mac,1969,2014,424
I Would Stay,Krezip,2000,2014,425
Time To Say Goodbye,Andrea Bocelli & Sarah Brightman,1997,2014,426
Non Je Ne Regrette Rien,Edith Piaf,1961,2014,427
Ren Lenny Ren,Acda En De Munnik,2002,2014,428
For Bitter Or Worse,Anouk,2009,2014,429
Sharp Dressed Man,ZZ Top,1985,2014,430
Miracle,Ilse DeLange,2008,2014,431
Go Like Elijah,Chi Coltrane,1973,2014,432
Poison,Alice Cooper,1989,2014,433
I Will Wait,Mumford & Sons,2012,2014,434
Vincent,Don McLean,1972,2014,435
Jolene,Dolly Parton,1974,2014,436
Message In A Bottle,The Police,1979,2014,437
Roll Over Lay Down,Status Quo,1975,2014,438
Is She Really Going Out With Him,Joe Jackson,1979,2014,439
Omarm,Blof,2003,2014,440
I See Fire,Ed Sheeran,2014,2014,441
The Family Tree,Venice,1999,2014,442
Dansen Aan Zee,Blof,2000,2014,443
Trouble,Coldplay,2002,2014,444
Norwegian Wood (This Bird Has Flown),The Beatles,1965,2014,445
I Will Always Love You,Whitney Houston,1992,2014,446
Tusk,Fleetwood Mac,1979,2014,447
What It Is,Mark Knopfler,2000,2014,448
Rehab,Amy Winehouse,2007,2014,449
Smooth Criminal,Michael Jackson,1988,2014,450
Need Your Love So Bad,Fleetwood Mac,1968,2014,451
Hold The Line,Toto,1979,2014,452
The Long And Winding Road,The Beatles,1970,2014,453
Little Wing,Jimi Hendrix,1969,2014,454
Blue Monday,New Order,1983,2014,455
You're The First The Last My Everything,Barry White,1974,2014,456
Golden Brown,The Stranglers,1982,2014,457
Pinball Wizard,The Who,1969,2014,458
Jump,Van Halen,1984,2014,459
Welterusten Meneer De President,Boudewijn de Groot,1966,2014,460
Heaven Must Be Missing An Angel,Tavares,1976,2014,461
Chan Chan,Buena Vista Social Club,1997,2014,462
The Thrill Is Gone,B.B. King,1969,2014,463
De Verzoening,Frank Boeijen Groep,1987,2014,464
Your Song,Elton John,1971,2014,465
Afscheid Nemen Bestaat Niet,Marco Borsato,2003,2014,466
A Boy Named Sue,Johnny Cash,1969,2014,467
This Is The Life,Amy Macdonald,2008,2014,468
Scar Tissue,Red Hot Chili Peppers,1999,2014,469
God Is A DJ,Faithless,2004,2014,470
I Want To Know What Love Is,Foreigner,1984,2014,471
Nine Million Bicycles,Katie Melua,2005,2014,472
Halo,Beyoncé,2010,2014,473
Such A Shame,Talk Talk,1984,2014,474
Question,The Moody Blues,1970,2014,475
Father And Son,Cat Stevens,1971,2014,476
Life On Mars,David Bowie,1971,2014,477
Cloudbusting,Kate Bush,1985,2014,478
Niet Of Nooit Geweest,Acda en De Munnik,1998,2014,479
Psycho Killer,Talking Heads,1978,2014,480
On Top Of The World,Imagine Dragons,2013,2014,481
Chasing Pavements,Adele,2008,2014,482
Zonder Jou,Paul de Leeuw & Simone Kleinsma,1995,2014,483
Father And Friend,Alain Clark,2008,2014,484
The Boys Of Summer,Don Henley,1985,2014,485
Dat Komt Door Jou,Guus Meeuwis,2009,2014,486
Fool On The Hill,The Beatles,1967,2014,487
Blowing In The Wind,Bob Dylan,1963,2014,488
Born In The USA,Bruce Springsteen,1985,2014,489
Kristallnach,BAP,1983,2014,490
Take It Easy,Eagles,1972,2014,491
Everytime I Think Of You,The Babys,1979,2014,492
New York State Of Mind,Billy Joel,1976,2014,493
Just Give Me A Reason,Pink & Nate Ruess,2012,2014,494
Alles Geprobeerd,Het Goede Doel,1986,2014,495
Learn To Fly,Foo Fighters,1999,2014,496
Overcome,Live,2001,2014,497
Rain Down On Me,Kane,2002,2014,498
Love Hurts,Nazareth,1974,2014,499
Stop Loving You,Toto,1988,2014,500
People Are Strange,The Doors,1967,2014,501
I Will Follow,U2,1982,2014,502
Max,Paolo Conte,1988,2014,503
Living On A Prayer,Bon Jovi,1986,2014,504
Once In A Lifetime,Talking Heads,1981,2014,505
The Wind Cries Mary,Jimi Hendrix Experience,1967,2014,506
Walk On The Wild Side,Lou Reed,1973,2014,507
New Kid In Town,Eagles,1977,2014,508
Almost Cut My Hair,Crosby Stills Nash & Young,1971,2014,509
Mooie Dag,Blof,2002,2014,510
All I Want Is You,U2,1989,2014,511
Another One Bites The Dust,Queen,1980,2014,512
Pak Maar M'n Hand,Nick & Simon,2007,2014,513
Alive & Kicking,Simple Minds,1985,2014,514
Nothing Rhymed,Gilbert O'Sullivan,1971,2014,515
All I Need,Air,1999,2014,516
Just a Little Bit of Peace in My Heart,Golden Earrings,1968,2014,517
I Heard It Through The Grapevine,Marvin Gaye,1969,2014,518
Something,The Beatles,1969,2014,519
So Long,Fischer-Z,1980,2014,520
Take Me To Church,Hozier,2014,2014,521
Valerie,Amy Winehouse,2007,2014,522
Daughters,John Mayer,2005,2014,523
In The Dutch Mountains,Nits,1987,2014,524
Superstition,Stevie Wonder,1973,2014,525
One Word,Anouk,2005,2014,526
Human,The Killers,2008,2014,527
Ik Kan Het Niet Alleen,De Dijk,1989,2014,528
Penny Lane,The Beatles,1967,2014,529
Lea,The Cats,1968,2014,530
Here Without You,3 Doors Down,2003,2014,531
See Me Feel Me,The Who,1970,2014,532
Like The Way I Do,Melissa Etheridge,1989,2014,533
One Of These Days,Pink Floyd,1971,2014,534
River Deep Mountain High,Ike & Tina Turner,1966,2014,535
Woman In Love,Barbra Streisand,1980,2014,536
My Hometown,Bruce Springsteen,1986,2014,537
Through The Barricades,Spandau Ballet,1986,2014,538
Black Hole Sun,Soundgarden,1994,2014,539
One Way Wind,The Cats,1971,2014,540
In-A-Gadda-Da-Vida,Iron Butterfly,1970,2014,541
So Long Marianne,Leonard Cohen,1968,2014,542
Lust For Life,Iggy Pop,1977,2014,543
Stay With Me,Sam Smith,2014,2014,544
Always On My Mind,Elvis Presley,1972,2014,545
Kan Ik Iets Voor Je Doen?,De Dijk,2011,2014,546
Alone,Heart,1987,2014,547
Tinseltown In The Rain,The Blue Nile,1984,2014,548
If You Could See Me Now,The Script,2013,2014,549
Take Five,Dave Brubeck,1962,2014,550
The Chain,Fleetwood Mac,1977,2014,551
Things We Lost In The Fire,Bastille,2013,2014,552
Going To The Run,Golden Earring,1991,2014,553
Tom Traubert's Blues,Tom Waits,1976,2014,554
The Power Of Love,Frankie Goes To Hollywood,1984,2014,555
Ben,Michael Jackson,1972,2014,556
Be My Number Two,Joe Jackson,1984,2014,557
You'll Be In My Heart,Phil Collins,1999,2014,558
Take Your Time Girl,Niels Geusebroek,2013,2014,559
Sovereign Light Cafe,Keane,2012,2014,560
Musica E,Eros Ramazzotti,1989,2014,561
American Pie,Don McLean,1972,2014,562
Turning Tables,Adele,2011,2014,563
It's My Life,Bon Jovi,2000,2014,564
London Calling,The Clash,1979,2014,565
Eloise,Barry Ryan,1968,2014,566
Rhiannon,Fleetwood Mac,1976,2014,567
Land Of Confusion,Genesis,1986,2014,568
Boogie Wonderland,Earth Wind & Fire,1979,2014,569
Down Under,Men At Work,1982,2014,570
You Are So Beautiful,Joe Cocker,1975,2014,571
Alors On Danse,Stromae,2010,2014,572
Ziggy Stardust,David Bowie,1972,2014,573
Whiskey In The Jar,Thin Lizzy,1973,2014,574
Gravity,John Mayer,2006,2014,575
Zij Maakt Het Verschil,De Poema's,2001,2014,576
Drops Of Jupiter (Tell Me),Train,2001,2014,577
Video Games,Lana Del Rey,2011,2014,578
Staying Alive,Bee Gees,1978,2014,579
Man On The Moon,R.E.M.,1992,2014,580
Streets,Kensington,2014,2014,581
Beautiful Noise,Neil Diamond,1976,2014,582
Every Teardrop Is A Waterfall,Coldplay,2011,2014,583
Bloedend Hart,De Dijk,1982,2014,584
Dirty Diana,Michael Jackson,1988,2014,585
Purple Haze,Jimi Hendrix,1967,2014,586
When Doves Cry,Prince,1984,2014,587
Lyin' Eyes ,Eagles,1975,2014,588
The Final Countdown,Europe,1986,2014,589
Mijn Houten Hart,De Poema's,1999,2014,590
Feeling Good,Michael Buble,2004,2014,591
How You Remind Me,Nickelback,2001,2014,592
